documentId,matterId,file,versionCount,kind,kindLabel,isEmail,deepseekLabel,source,modelPrediction,modelConfidence,agreement,needsReview,reviewReason
doc-102,,doc-102.v2.txt,1,correspondence,Correspondence,False,correspondence,deepseek,due_diligence_document,0.1345,False,False,
doc-47,,doc-47.v2.txt,1,credit_or_financing_agreement,"Credit, Security or Financing Agreement",False,credit_or_financing_agreement,deepseek,credit_or_financing_agreement,0.9591,True,False,
doc-61,,doc-61.v2.txt,1,term_sheet_or_loi,Term Sheet or Letter of Intent,False,term_sheet_or_loi,deepseek,term_sheet_or_loi,0.9651,True,False,
doc-76,,doc-76.v2.txt,1,purchase_agreement,Purchase or Merger Agreement,False,purchase_agreement,deepseek,purchase_agreement,0.9613,True,False,
doc-77,,doc-77.v2.txt,1,employment_agreement,Employment and Compensation Agreement,False,employment_agreement,deepseek,employment_agreement,0.948,True,False,
hv-1001-00001-acquiring-person-hsr-form,hv-1001-00001,hv-1001-00001-acquiring-person-hsr-form.v3.txt,3,regulatory_filing,Regulatory Filing or Government Submission,False,regulatory_filing,deepseek,regulatory_filing,0.9602,True,False,
hv-1001-00001-biweekly-status-report-1,hv-1001-00001,hv-1001-00001-biweekly-status-report-1.v1.txt,1,regulatory_filing,Regulatory Filing or Government Submission,False,regulatory_filing,deepseek,regulatory_filing,0.6754,True,False,
hv-1001-00001-biweekly-status-report-2,hv-1001-00001,hv-1001-00001-biweekly-status-report-2.v1.txt,1,regulatory_filing,Regulatory Filing or Government Submission,False,regulatory_filing,deepseek,regulatory_filing,0.5109,True,False,
hv-1001-00001-client-update-early-termination-granted,hv-1001-00001,hv-1001-00001-client-update-early-termination-granted.v1.txt,1,correspondence,Correspondence,True,regulatory_filing,legal-bert,correspondence,0.6555,False,False,
hv-1001-00001-client-update-hsr-forms-filed,hv-1001-00001,hv-1001-00001-client-update-hsr-forms-filed.v1.txt,1,regulatory_filing,Regulatory Filing or Government Submission,True,correspondence,legal-bert,regulatory_filing,0.6288,False,False,
hv-1001-00001-closing-memo-antitrust-workstream,hv-1001-00001,hv-1001-00001-closing-memo-antitrust-workstream.v1.txt,1,matter_administration_memo,Matter Opening or Closing Memorandum,False,matter_administration_memo,deepseek,matter_administration_memo,0.9415,True,False,
hv-1001-00001-conflicts-check-memorandum,hv-1001-00001,hv-1001-00001-conflicts-check-memorandum.v1.txt,1,conflict_check_memorandum,Conflicts Check Memorandum,False,conflict_check_memorandum,deepseek,conflict_check_memorandum,0.9602,True,False,
